timestamp,elapsed_s,stage,khop_1,khop_2,khop_3,khop_4,khop_5,khop_6,run_time_ms,dry_run
2026-06-25T18:40:09,11.003,default,90,180,0,50,90,90,10000,0
2026-06-25T18:40:36,38.157,pick_1,0,180,0,50,90,90,10000,0
2026-06-25T18:41:41,11.002,default,90,180,0,50,90,90,10000,0
2026-06-25T18:42:08,37.639,pick_1,0,180,0,50,90,90,10000,0
2026-06-25T18:42:31,60.370,picking_1,0,90,90,65,90,30,10000,0
2026-06-25T18:42:42,71.372,grasp_1,0,90,90,65,90,132,10000,0
2026-06-25T18:42:53,82.375,picked_1,0,180,0,50,90,132,10000,0
2026-06-25T18:43:04,93.377,hold,90,180,0,50,90,132,10000,0
2026-06-25T19:05:36,11.002,default,90,180,0,50,90,90,10000,0
2026-06-25T19:06:03,37.957,pick_1,0,180,0,50,90,90,10000,0
2026-06-25T19:07:21,11.002,default,90,180,0,50,90,90,10000,0
2026-06-25T19:07:48,37.689,pick_1,0,180,0,50,90,90,10000,0
2026-06-25T19:11:42,11.003,default,90,180,0,50,90,90,10000,0
2026-06-25T19:12:09,37.684,pick_1,0,180,0,50,90,90,10000,0
2026-06-25T19:12:36,65.095,picking_1,0,90,90,65,90,30,10000,0
2026-06-25T19:12:47,76.097,grasp_1,0,90,90,65,90,132,10000,0
2026-06-25T19:12:58,87.099,picked_1,0,180,0,50,90,132,10000,0
