timestamp,elapsed_s,stage,khop_1,khop_2,khop_3,khop_4,khop_5,khop_6,run_time_ms,dry_run
2026-06-25T17:38:47,1.001,default,90,180,0,50,90,90,10000,1
2026-06-25T17:38:48,2.602,pick_1,0,180,0,50,90,90,10000,1
2026-06-25T17:38:49,3.608,picking_1,0,90,90,65,90,30,10000,1
2026-06-25T17:38:50,4.608,grasp_1,0,90,90,65,90,132,10000,1
2026-06-25T17:38:51,5.608,picked_1,0,180,0,50,90,132,10000,1
2026-06-25T17:38:52,6.608,hold,90,180,0,50,90,132,10000,1
2026-06-25T17:40:09,1.000,default,90,180,0,50,90,90,10000,1
2026-06-25T17:40:10,2.601,pick_1,0,180,0,50,90,90,10000,1
2026-06-25T17:40:11,3.607,picking_1,0,90,90,65,90,30,10000,1
2026-06-25T17:40:12,4.607,grasp_1,0,90,90,65,90,132,10000,1
2026-06-25T17:40:13,5.607,picked_1,0,180,0,50,90,132,10000,1
2026-06-25T17:40:14,6.607,hold,90,180,0,50,90,132,10000,1
2026-06-25T17:40:53,1.000,default,90,180,0,50,90,90,10000,1
2026-06-25T17:40:54,2.601,pick_1,0,180,0,50,90,90,10000,1
2026-06-25T17:40:55,3.607,picking_1,0,90,90,65,90,30,10000,1
2026-06-25T17:40:56,4.607,grasp_1,0,90,90,65,90,132,10000,1
2026-06-25T17:40:57,5.608,picked_1,0,180,0,50,90,132,10000,1
2026-06-25T17:40:58,6.608,hold,90,180,0,50,90,132,10000,1
2026-06-25T17:42:17,1.000,default,90,180,0,50,90,90,10000,1
2026-06-25T17:42:19,2.601,pick_1,0,180,0,50,90,90,10000,1
2026-06-25T17:42:20,3.607,picking_1,0,90,90,65,90,30,10000,1
2026-06-25T17:42:21,4.607,grasp_1,0,90,90,65,90,132,10000,1
2026-06-25T17:42:22,5.608,picked_1,0,180,0,50,90,132,10000,1
2026-06-25T17:42:23,6.608,hold,90,180,0,50,90,132,10000,1
2026-06-25T17:44:31,1.000,default,90,180,0,50,90,90,10000,1
2026-06-25T17:44:33,2.601,pick_1,0,180,0,50,90,90,10000,1
2026-06-25T17:44:34,3.607,picking_1,0,90,90,65,90,30,10000,1
2026-06-25T17:44:35,4.607,grasp_1,0,90,90,65,90,132,10000,1
2026-06-25T17:44:36,5.608,picked_1,0,180,0,50,90,132,10000,1
2026-06-25T17:44:37,6.608,hold,90,180,0,50,90,132,10000,1
2026-06-25T18:29:34,1.000,default,90,180,0,50,90,90,10000,1
2026-06-25T18:29:35,2.601,pick_1,0,180,0,50,90,90,10000,1
2026-06-25T18:29:36,3.610,picking_1,0,90,90,65,90,30,10000,1
2026-06-25T18:29:37,4.610,grasp_1,0,90,90,65,90,132,10000,1
2026-06-25T18:29:38,5.611,picked_1,0,180,0,50,90,132,10000,1
2026-06-25T18:29:39,6.611,hold,90,180,0,50,90,132,10000,1
2026-06-25T18:32:40,0.000,default,90,180,0,50,90,90,100,1
2026-06-25T18:32:41,0.601,pick_1,0,180,0,50,90,90,100,1
2026-06-25T18:32:41,0.611,picking_1,0,90,90,65,90,30,100,1
2026-06-25T18:32:41,0.611,grasp_1,0,90,90,65,90,132,100,1
2026-06-25T18:32:41,0.611,picked_1,0,180,0,50,90,132,100,1
2026-06-25T18:32:41,0.611,hold,90,180,0,50,90,132,100,1
2026-06-25T18:35:40,0.000,default,90,180,0,50,90,90,100,1
2026-06-25T18:35:41,0.601,pick_1,0,180,0,50,90,90,100,1
2026-06-25T18:35:41,0.611,picking_1,0,90,90,65,90,30,100,1
2026-06-25T18:35:41,0.611,grasp_1,0,90,90,65,90,132,100,1
2026-06-25T18:35:41,0.611,picked_1,0,180,0,50,90,132,100,1
2026-06-25T18:35:41,0.611,hold,90,180,0,50,90,132,100,1
